timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874952.575,-553.223,-731.934,-1000.000,-842.285,0.000
1748874952.579,860.840,672.852,-72.266,-17.090,0.000
1748874952.583,-983.398,-998.535,-877.930,-1000.000,0.000
1748874952.587,992.676,-896.973,270.020,-769.043,0.000
1748874952.590,369.141,5.371,-1000.000,648.438,0.000
1748874952.594,520.020,-291.016,-885.742,-880.859,0.000
1748874952.598,-964.355,-988.281,393.066,-294.434,0.000
1748874952.602,978.516,-969.238,-976.074,-1000.000,0.000
1748874952.606,862.793,804.688,552.246,-1000.000,0.000
1748874952.610,-562.500,-567.383,-600.586,-61.523,0.000
1748874952.614,-1000.000,-1000.000,-1000.000,-803.711,0.000
1748874952.618,194.336,134.277,-212.402,-15.137,0.000
1748874952.622,-773.926,-774.902,-945.801,-1000.000,0.000
1748874952.626,168.457,162.598,21.973,-916.992,0.000
1748874952.629,-1000.000,-1000.000,-1000.000,338.867,0.000
1748874952.633,-957.031,-1000.000,-1000.000,-778.809,0.000
1748874952.637,336.914,196.289,-172.363,171.387,0.000
1748874952.641,-780.762,-769.531,-858.887,-1000.000,0.000
1748874952.645,164.062,162.109,79.590,-896.973,0.000
1748874952.649,-1000.000,-1000.000,-1000.000,428.223,0.000
1748874952.653,-957.031,-993.652,-1000.000,-785.645,0.000
1748874952.657,336.914,269.043,-76.660,163.574,0.000
1748874952.661,-774.414,-769.043,-806.152,-1000.000,0.000
1748874952.665,143.555,144.043,123.047,-1000.000,0.000
1748874952.669,-1000.000,-1000.000,-1000.000,143.555,0.000
1748874952.672,-1000.000,-1000.000,-1000.000,-767.578,0.000
1748874952.676,68.848,48.340,-216.309,423.828,0.000
1748874952.680,-766.602,-764.648,-821.289,-894.531,0.000
1748874952.684,145.996,214.844,240.234,-1000.000,0.000
1748874952.688,-1000.000,-999.512,-1000.000,-109.375,0.000
1748874952.692,-1000.000,-1000.000,-1000.000,-853.516,0.000
1748874952.696,-60.547,-144.043,-255.859,672.852,0.000
1748874952.700,-780.762,-805.176,-830.566,-694.336,0.000
1748874952.704,341.797,433.105,344.727,-1000.000,0.000
1748874952.708,-945.312,-910.156,-966.797,-195.801,0.000
1748874952.711,-1000.000,-1000.000,-1000.000,-954.102,0.000
1748874952.715,-250.488,-235.840,-240.234,928.711,0.000
1748874952.719,-850.586,-880.859,-882.812,-366.211,0.000
1748874952.723,550.781,676.270,651.367,-1000.000,0.000
1748874952.727,-855.469,-719.238,-700.684,-170.898,0.000
1748874952.731,-1000.000,-1000.000,-1000.000,-996.094,0.000
1748874952.735,-215.332,-197.754,-235.352,-951.172,0.000
1748874952.739,-921.387,-950.684,-999.023,-69.824,0.000
1748874952.743,815.430,914.062,-989.746,-1000.000,0.000
1748874952.747,-539.551,-379.883,-192.383,-270.020,0.000
1748874952.751,-1000.000,-1000.000,-1000.000,960.449,0.000
1748874952.754,-179.199,-229.492,-458.496,-912.109,0.000
1748874952.758,-985.840,987.793,886.230,128.906,0.000
1748874952.762,-983.887,-954.590,-910.645,-1000.000,0.000
1748874952.766,-173.340,-96.191,-82.031,-502.930,0.000
1748874952.770,-1000.000,-1000.000,-1000.000,858.887,0.000
1748874952.774,-364.746,-408.203,-565.918,-866.699,0.000
1748874952.778,922.363,902.344,805.176,191.406,0.000
1748874952.782,-907.715,-895.996,-870.605,-1000.000,0.000
1748874952.786,17.090,60.059,6.348,-844.727,0.000
1748874952.790,-1000.000,-1000.000,-1000.000,510.742,0.000
1748874952.794,-465.820,-563.965,-717.285,-795.410,0.000
1748874952.797,866.211,808.594,631.836,149.902,0.000
1748874952.801,-872.070,-850.586,-819.824,-1000.000,0.000
1748874952.805,204.590,185.059,142.578,-1000.000,0.000
1748874952.809,-1000.000,-1000.000,-1000.000,148.438,0.000
1748874952.813,-719.238,-857.910,-918.945,-757.812,0.000
1748874952.817,674.316,491.211,386.230,239.258,0.000
1748874952.821,-824.219,-792.480,-780.273,-993.164,0.000
1748874952.825,166.992,148.438,154.297,-1000.000,0.000
1748874952.829,-1000.000,-1000.000,-1000.000,-54.199,0.000
1748874952.833,-957.031,-1000.000,-1000.000,-789.551,0.000
1748874952.836,336.914,131.348,117.676,435.547,0.000
1748874952.840,-773.926,-760.742,-766.602,-896.484,0.000
1748874952.844,142.090,143.555,261.230,-1000.000,0.000
1748874952.848,-1000.000,-1000.000,-970.215,-233.887,0.000
1748874952.852,-1000.000,-1000.000,-1000.000,-884.766,0.000
1748874952.856,42.480,-104.492,-181.152,690.430,0.000
1748874952.860,-767.578,-788.574,-821.777,-703.613,0.000
1748874952.864,335.938,347.656,447.266,-1000.000,0.000
1748874952.868,-945.801,-948.730,-899.414,-195.801,0.000
1748874952.872,-1000.000,-1000.000,-1000.000,-954.102,0.000
1748874952.876,-165.039,-247.559,-206.055,928.223,0.000
1748874952.879,-828.125,-859.863,-958.496,-366.211,0.000
1748874952.883,538.086,595.215,942.383,-1000.000,0.000
1748874952.887,-849.121,-807.617,-333.008,-171.387,0.000
1748874952.891,-1000.000,-1000.000,-1000.000,-995.117,0.000
1748874952.895,-215.332,-208.008,-175.781,-956.543,0.000
1748874952.899,-921.387,-935.059,-987.793,-71.289,0.000
1748874952.903,815.430,859.863,-961.426,-1000.000,0.000
1748874952.907,-539.551,-461.426,-119.141,-367.188,0.000
1748874952.911,-1000.000,-1000.000,-1000.000,919.434,0.000
1748874952.915,-179.199,-251.465,-242.188,-897.949,0.000
1748874952.919,-985.840,989.258,986.816,107.422,0.000
1748874952.922,-983.887,-970.703,-943.848,-1000.000,0.000
1748874952.926,-173.340,-161.621,-27.344,-563.477,0.000
1748874952.930,-1000.000,-1000.000,-1000.000,817.871,0.000
1748874952.934,-360.352,-448.242,-519.043,-853.027,0.000
1748874952.938,924.316,874.512,840.820,186.523,0.000
1748874952.942,-910.645,-886.719,-871.094,-1000.000,0.000
1748874952.946,17.090,47.852,89.844,-845.215,0.000
1748874952.950,-1000.000,-1000.000,-1000.000,510.254,0.000
1748874952.954,-552.734,-665.527,-740.723,-797.363,0.000
1748874952.958,811.035,697.754,619.141,156.738,0.000
1748874952.961,-852.051,-827.637,-814.453,-1000.000,0.000
1748874952.965,186.035,173.828,152.832,-997.559,0.000
1748874952.969,-1000.000,-1000.000,-1000.000,241.699,0.000
1748874952.973,-844.727,-912.109,-980.957,-770.020,0.000
1748874952.977,510.742,406.738,274.902,155.273,0.000
1748874952.981,-795.898,-782.227,-768.066,-1000.000,0.000
1748874952.985,149.902,145.996,163.574,-1000.000,0.000
1748874952.989,-1000.000,-1000.000,-1000.000,-59.082,0.000
1748874952.993,-1000.000,-1000.000,-1000.000,-781.250,0.000
1748874952.997,154.297,95.215,-144.043,354.004,0.000
1748874953.001,-762.207,-762.207,-800.781,-938.477,0.000
1748874953.004,145.996,245.605,294.922,-1000.000,0.000
1748874953.008,-1000.000,-1000.000,-998.535,-235.352,0.000
1748874953.012,-1000.000,-1000.000,-1000.000,-895.020,0.000
1748874953.016,27.344,-43.945,-149.902,571.777,0.000
1748874953.020,-792.969,-814.941,-851.562,-776.855,0.000
1748874953.024,364.258,434.082,478.516,-1000.000,0.000
1748874953.028,-931.152,-905.762,-879.395,-202.148,0.000
1748874953.032,-1000.000,-1000.000,-1000.000,-951.172,0.000
1748874953.036,-247.070,-235.840,-208.008,916.992,0.000
1748874953.040,-856.934,-881.348,-953.125,-383.789,0.000
1748874953.044,0.000,676.758,919.922,-1000.000,0.000
1748874953.047,0.000,-718.750,-362.793,-171.387,0.000
1748874953.051,0.000,-1000.000,-1000.000,-996.094,0.000
1748874953.055,0.000,-194.824,-198.730,-956.543,0.000
1748874953.059,0.000,-958.496,-991.699,-71.289,0.000
1748874953.063,0.000,938.477,-976.074,-1000.000,0.000
1748874953.067,0.000,-341.309,-140.137,-366.211,0.000
1748874953.071,0.000,-1000.000,-1000.000,918.457,0.000
1748874953.075,0.000,-206.055,-506.348,-895.508,0.000
1748874953.079,0.000,988.281,865.234,120.117,0.000
1748874953.083,0.000,-942.871,-904.785,-1000.000,0.000
1748874953.086,0.000,-36.621,-106.934,-541.504,0.000
1748874953.090,-1000.000,-1000.000,0.000,833.984,0.000
1748874953.094,-364.746,-358.398,0.000,-858.887,0.000
1748874953.098,922.363,918.945,0.000,192.383,0.000
1748874953.102,-910.156,-893.555,0.000,-1000.000,0.000
1748874953.106,17.090,184.570,0.000,-804.199,0.000
1748874953.110,-1000.000,-1000.000,0.000,563.965,0.000
1748874953.114,-552.734,-564.453,0.000,-804.199,0.000
1748874953.118,810.547,830.078,0.000,154.297,0.000
1748874953.122,-852.051,-856.934,0.000,-1000.000,0.000
1748874953.126,186.523,187.500,0.000,-1000.000,0.000
1748874953.129,-1000.000,-1000.000,0.000,191.895,0.000
1748874953.133,-844.727,-844.727,0.000,-761.230,0.000
1748874953.137,510.742,510.742,266.113,240.723,0.000
1748874953.141,-795.898,-794.922,-768.555,-996.094,0.000
1748874953.145,149.902,149.902,169.922,-1000.000,0.000
1748874953.149,-1000.000,-1000.000,-1000.000,-18.555,0.000
1748874953.153,-1000.000,-1000.000,-1000.000,-785.645,0.000
1748874953.157,154.297,148.438,-61.035,430.664,0.000
1748874953.161,-760.254,-757.324,-785.645,-899.902,0.000
1748874953.165,139.160,237.793,276.855,-1000.000,0.000
1748874953.168,-1000.000,-990.723,-976.562,-189.453,0.000
1748874953.172,-1000.000,-1000.000,-1000.000,-872.559,0.000
1748874953.176,-60.547,-78.125,-226.074,684.082,0.000
1748874953.180,-780.762,-793.945,-830.566,-700.195,0.000
1748874953.184,0.000,430.176,437.012,-1000.000,0.000
