timestamps,X,Y,Z
1748875227.245,-34.872,-133.528,0.508
1748875227.307,17.802,-56.726,-48.577
1748875227.307,2.430,-28.883,-27.754
1748875227.307,-56.487,-22.722,-5.974
1748875227.364,-55.298,-58.140,-19.492
1748875227.364,-10.572,-87.165,-37.638
1748875227.364,-5.129,-56.338,-22.722
1748875227.425,-3.671,4.090,-8.912
1748875227.425,24.083,44.188,-9.428
1748875227.425,63.613,60.891,-11.634
1748875227.485,85.677,59.650,-16.980
1748875227.485,40.412,68.076,-28.449
1748875227.485,16.284,88.451,-35.156
1748875227.548,-15.253,121.902,-18.954
1748875227.548,-3.529,153.745,-14.804
1748875227.548,16.322,175.697,9.608
1748875227.605,22.625,170.150,18.520
1748875227.605,69.661,136.048,8.935
1748875227.605,64.196,135.764,-1.368
1748875227.664,30.849,157.589,-7.537
1748875227.664,33.773,146.882,19.006
1748875227.664,54.581,136.414,32.068
1748875227.725,50.364,129.939,24.030
1748875227.725,41.631,124.780,11.567
1748875227.725,41.085,129.461,10.639
1748875227.785,19.178,146.971,18.049
1748875227.785,29.780,142.134,17.810
1748875227.785,33.720,123.001,14.572
1748875227.845,29.997,118.418,15.881
1748875227.845,26.363,120.541,15.006
1748875227.845,22.774,122.313,11.253
1748875227.904,18.737,109.984,14.056
1748875227.904,21.085,74.432,10.983
1748875227.904,20.584,34.019,2.026
1748875227.968,1.929,5.809,6.333
1748875227.968,-11.454,-5.772,14.632
1748875227.968,-21.862,-13.331,17.107
1748875228.062,-20.367,-42.685,9.271
1748875228.062,-18.819,-81.505,1.862
1748875228.062,-22.199,-112.414,-0.179
1748875228.084,-13.301,-135.308,-20.853
1748875228.084,5.630,-148.512,-62.379
1748875228.084,-58.304,-153.379,-60.495
1748875228.144,-110.746,-176.146,-1.406
1748875228.144,-87.538,-187.421,2.976
1748875228.144,-58.543,-174.142,-9.324
1748875228.205,-48.509,-132.900,-12.696
1748875228.205,-39.747,-90.507,-21.997
1748875228.205,-15.754,-76.936,-32.075
1748875228.265,-23.574,-71.874,-17.615
1748875228.265,-42.147,-66.581,2.535
1748875228.265,-41.347,-65.811,17.982
1748875228.325,-22.916,-77.706,21.705
1748875228.325,7.776,-93.221,-11.230
1748875228.325,27.582,-110.597,-36.793
1748875228.384,14.169,-112.788,-47.388
1748875228.384,1.824,-92.548,-36.210
1748875228.384,-10.251,-72.166,-25.907
1748875228.444,-10.041,-72.106,-20.053
1748875228.444,-16.830,-57.938,-14.333
1748875228.444,-24.434,-26.169,-16.434
1748875228.504,-29.698,7.245,-21.279
1748875228.504,-11.821,52.435,-12.957
1748875228.504,8.763,97.512,5.638
1748875228.564,50.095,119.046,10.348
1748875228.564,62.820,133.326,7.791
1748875228.564,31.971,138.276,12.471
1748875228.627,42.341,146.291,24.950
1748875228.627,9.428,158.673,33.870
1748875228.627,20.157,143.801,25.010
1748875228.675,32.083,121.700,15.649
1748875228.675,49.594,115.689,12.411
1748875228.675,34.565,104.556,1.765
1748875228.745,42.685,85.744,-1.578
1748875228.745,44.936,86.447,10.804
1748875228.745,46.775,105.625,28.008
1748875228.805,43.881,122.904,37.922
1748875228.805,54.468,117.124,43.769
1748875228.805,57.325,111.599,48.711
1748875228.852,37.025,105.528,55.164
1748875228.852,4.090,88.593,63.067
1748875228.852,-21.376,73.243,75.097
1748875228.925,-26.303,56.719,78.933
1748875228.925,-31.776,52.667,81.878
1748875228.925,-45.840,68.757,81.744
1748875228.969,-31.874,61.691,85.542
1748875228.969,-29.623,50.244,90.851
1748875228.969,-26.109,36.771,104.062
1748875229.030,-30.827,25.728,115.412
1748875229.030,-51.074,26.191,132.930
1748875229.030,-51.298,21.301,145.312
1748875229.092,-49.025,15.641,130.223
1748875229.092,-43.717,4.239,87.082
1748875229.092,-26.685,-13.526,45.698
1748875229.165,-21.750,-9.735,40.644
1748875229.165,-16.539,2.071,41.152
1748875229.165,-12.187,10.206,25.107
1748875229.209,-11.552,13.458,7.260
1748875229.209,-18.909,6.423,-1.922
1748875229.209,-3.619,-14.191,-18.550
1748875229.272,12.479,-27.903,-50.184
1748875229.272,18.206,-35.889,-80.869
1748875229.272,35.889,-46.917,-103.038
1748875229.330,54.267,-55.986,-121.012
1748875229.330,60.084,-63.695,-137.999
1748875229.330,60.226,-65.691,-148.392
1748875229.389,72.129,-69.699,-159.734
1748875229.389,90.596,-85.998,-161.267
1748875229.389,102.821,-100.884,-136.145
1748875229.449,102.013,-104.114,-91.269
1748875229.449,71.052,-96.361,-54.663
1748875229.449,35.290,-109.513,-0.613
1748875229.511,37.735,-141.072,-19.731
1748875229.511,20.531,-166.643,-45.945
1748875229.511,-14.273,-168.288,-49.810
1748875229.569,-43.134,-163.076,-54.611
1748875229.569,-59.680,-161.260,-75.224
1748875229.569,-50.812,-161.103,-82.574
1748875229.643,-64.315,-152.542,-75.411
1748875229.643,-58.155,-159.181,-58.738
1748875229.643,-54.476,-153.760,-42.341
1748875229.689,-51.104,-134.500,-37.033
1748875229.689,-46.311,-110.470,-39.866
1748875229.689,-42.221,-84.862,-46.797
1748875229.753,-39.433,-51.141,-24.038
1748875229.753,-25.862,-15.656,6.849
1748875229.753,-12.853,21.204,10.026
1748875229.809,4.613,51.829,-0.837
1748875229.809,10.924,82.708,-8.224
